Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
"Дальнейшее исследование сути исцеления. т. 3. Рабочая тетрадь. Наука, дух и вечность души",Бенор Д.,"Автор книги, Дэниел Бенор, - доктор медицины, посвятивший этой области знания большую часть своей жизни. Основная цель его исследовательских работ - изучить феномен целительства максимально полно. В этой книге, продолжающей тему третьего тома, автор рассказывает о психокинезе, экстрасенсорике, и приводит множество свидетельств, которые подтверждают существование привидений, ангелов, природных духов и других мистических явлений. Но главная ценность этой книги - в описании различных духовных упражнений, рекомендациях по развитию интуиции и психических способностей, различных видах медитаций, упражнениях по выходу из тела и молитвах. Доктор Бенор, в течение многих лет изучавший целительство и тщательно отбиравший лучшие из методов, предлагает читателям самые эффективные и действенные методики оздоровления. Издание адресовано специалистам в области медицины, исследователям и практикам различных целительных методик, а также всем тем, кто интересуется целительством и...",3 300 тг,0,Весь,2011 г.,9785957318088,128,Мягкий,240 мм x 170 мм,180 г.,http://www.bookcity.kz/content/images/thumbs/5048569_1370784.jpeg
Даосская парадигма цвета: Кн.1 Основы цветодиагностики,Гоникман Э.И.,Даосская парадигма цвета.:Кн.1. Основы цветодиагностики.Теория и практика.,3 300 тг,0,Велигор,2010 г.,9785917420349,240,Мягкий,200 мм x 145 мм,240 г.,http://www.bookcity.kz/content/images/thumbs/5022650_1344877.jpeg
Дзен и искусство освобождения от курения. Освобождение от курения как путь самопознания,Шлемеус Т.,"Если человек находится во власти заблуждений, его мысли и поступки становятся ошибочными даже лучшие побуждения не спасут его от ошибки. Подобно Будде, который достиг нирваны, победив демона Мару, воплощение иллюзий нашего мира, любой курильщик сможет выбраться из мрачного царства никотиновой зависимости, лишь победив роковые иллюзии, во власти которых он находится. Понятие ""иллюзия"" в буддийских текстах означает неправильное понимание причин неверного поведения и вредных реакций, поэтому неудивительно, что буддийские методы духовного освобождения основаны на разрушении иллюзий. Буддизм также разработал огромный арсенал приемов борьбы с ""демонами"" - вредоносными силами, опасными для жизни человека. Уникальная методика, изложенная в этой книге, основана на философии дзен и личном опыте автора и рассматривает процесс отказа от курения как духовный процесс познания себя и мира, сопровождающийся ""снятием"" возникающих внутренних конфликтов, как особый внутренний путь,...",2 700 тг,0,Добрая книга,2010 г.,9785981244490,128,Твердый,200 мм x 130 мм,190 г.,http://www.bookcity.kz/content/images/thumbs/5020770_1341661.jpeg
Дива Никотина,Гейтли А.,"Удивительная и крайне увлекательная история покорения мира незатейливым растением, обладающим дьявольской притягательностью, - табаком. А.Гейтли удалось создать интригующее динамичное произведение, анализирующее исторические, культурные и геополитические корни табачного феномена.",1 500 тг,0,Амфора,2005 г.,9785942789046,432,Твердый,200 мм x 130 мм,460 г.,http://www.bookcity.kz/content/images/thumbs/5012081_1332167.jpeg
Древние рецепты и классификация точек иглотерапии,Ли Е.,"На сегодняшний день этот справочник является наиболее полным сборником 
древних рецептов, распределенных по разделам европейской медицины: болезни 
органов дыхания, болезни сердца, внутренние болезни и т.д. 
В данной книге говорится о некоторых неизвестных, не опубликованных до 
настоящего времени на русском языке, основах акупунктуры. Предложены новые 
термины и понятия, необходимые врачам для более точного и полного понимания 
содержащейся в первоисточниках информации, а также способствующие 
ускорению процесса обучения иглотерапии. 
В справочнике представлена, проведенная впервые на русском языке, 
систематизация точек акупунктуры – «Классификация точек иглотерапии». 
Для быстроты нахождения рецептов они распределены по симптомному 
признаку. 
Книга предназначена для врачей-иглотерапевтов и врачей различных 
специальностей, использующих в своей работе акупунктуру.",15 800 тг,0,Бишкек,2016 г.,9789967466579,360,Твердый,27 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5085202_1423872.jpeg
Единственный способ бросить курить навсегда,Карр А.,"В этой книге, ставшей продолжением супербестселлера ""Легкий способ бросить курить"", Аллен Карр подробно рассказывает о коварных ловушках, подстерегающих каждого, кто принял решение бросить курить, помогает читателю обрести уверенность в себе и в своих силах, чтобы навсегда порвать с курением. Автор обсуждает последствия отказа от курения, разоблачает мифы, связанные с процессом отвыкания, помогает читателю стать свободным от никотинового рабства. Эта книга поможет вам: Правильно настроиться на отказ от курения. Бросить курить легко и естественно, без мук отвыкания, набора веса и применения силы воли. Не зависеть от заменителей никотина и других искусственных средств, которые обычно навязываются тем, кто бросает курить. Избежать набора веса после отказа от табака. Наслаждаться свободой, открывая для себя новые удовольствия и радости жизни, которых лишены курильщики. ""Следуйте моим инструкциям, и вы до конца своих дней будете счастливы от...",5 800 тг,5,Добрая книга,2018 г.,9785981245091,608,Мягкий,28 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5042733_1367339.jpeg
Жемчужины восточной медицины,Кашницкий С.Е.,"Лучшие методики Китая, Тибета, Ближнего Востока и Средней АзииДыхательная гимнастика для желудкаПриготовление целительных масок из глиныКитайская методика су джок для снятия болевых синдромовМонгольские народные методы лечения бессонницыТибетские препараты от гриппа и простудыОчищение крови при помощи сокаИндийский метод лечения гипертонии йодом",3 300 тг,3,АСТ,2017 г.,9785171060923,352,Твердый,240 мм x 170 мм,520 г.,http://www.bookcity.kz/content/images/thumbs/5113600_1446808.jpeg
Жизнь без лекарств. Биоэнергетика и народная медицина,Петренко В.В.,"Здоровье - это гармония с самим собой и с Природой. Если человек отдаляется от Природы и перестает слышать свой организм, он теряет свою защитную функцию. Не зная себя, не зная причин своего заболевания, человек ищет спасения у врачей, выписывающих дорогостоящие лекарства, и надеется на волшебную ""Таблетку"", которая моментально избавит его от боли и страданий. При этом человек даже не пытается изменить свой образ жизни и отношение к окружающему миру. Но в каждом из нас заложен огромный потенциал физического и психического здоровья. Об этом знали наши бабушки, прабабушки и жили в гармонии с природой. Кое-что из сокровищницы народной мудрости собрано на страницах этой книги. В.В.Петренко успешно сочетает знания из разных областей науки, особенно химии, биологии, с древними знаниями о природе, о человеке, о причинах заболеваний и способах лечения, с лучшими традициями народных целителей разных стран и народов.",1 100 тг,4,Амрита-Русь,2016 г.,9785000536070,128,Мягкий,200 мм x 130 мм,75 г.,http://www.bookcity.kz/content/images/thumbs/5067711_1407481.jpeg
Загадка нашего здоровья. Книга 1. Биоэнергетика человека- космическая и земная,Петренко В.В.,"Книга появилась в результате многолетнего изучения и практики в области электрорефлексотерапии, траволечения, медицинской астрологии и других методов традиционной и нетрадиционной медицины. В основу книги легли учения философов и целителей древности Гиппократа и Авиценны, наследие русских исследователей А.С.Залманова и П.А.Бадмаева, многовековой опыт врачевания народов различных стран мира, современные достижения российских и иностранных ученых. Для широкого круга читателей, специалистов и неспециалистов, заинтересованных в поддержании своего здоровья.",4 000 тг,1,Амрита-Русь,2016 г.,9785413009796,462,Мягкий,240 мм x 170 мм,565 г.,http://www.bookcity.kz/content/images/thumbs/5032257_1385596.jpeg
Загадка нашего здоровья. Книга 2.  Биоэнергетика человека - космическая и земная,Петренко В.В.,"Книга появилась в результате многолетнего изучения и практики в области электрорефлексотерапии, траволечения, медицинской астрологии и других методов традиционной и нетрадиционной медицины. В основу книги легли учения философов и целителей древности Гиппократа и Авиценны, наследие русских исследователей А.С.Залманова и П.А.Бадмаева, многовековой опыт врачевания народов различных стран мира, современные достижения российских и иностранных ученых.",3 800 тг,0,Амрита-Русь,2017 г.,9785000532348,272,Мягкий,240 мм x 170 мм,341 г.,http://www.bookcity.kz/content/images/thumbs/5064641_1404535.jpeg
Загадка нашего здоровья. Книга 3.  Биоэнергетика человека - космическая и земная,Петренко В.В.,"Все процессы, происходящие в нашем организме, управляются мозгом. Именно он распределяет энергию и ""контролирует"" поведение всех органов и тканей нашего тела. Но мы используем способности этого ""главнокомандующего"" только на 2-4 %. Мы разучились слышать и понимать собственный организм, заглушаем его сигналы искусственными лекарственными препаратами, снимаем симптомы и загоняем болезнь внутрь, переводя её в хроническую стадию. Выход предлагают авторы уже третьей книги серии ""Тайны вашего здоровья"". Книга предназначена для врачей, физиотерапевтов, целителей и просто заинтересованных читателей.",2 700 тг,0,Амрита-Русь,2016 г.,9785000533321,176,Мягкий,240 мм x 170 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5067575_1407420.jpeg
Загадка нашего здоровья. Книга 4. Практические советы целителя,Петренко В.В.,"Восток познакомил нас с понятиями инь и ян, которые, взаимодействуя, порождают ток, т.е. энергию. Эта энергия способна как построить материю, так и разрушить ее. Мы - маленькие электростанции, способные восстановить сами себя. Правильный образ жизни, проявление заботы о себе, об окружающих нас людях, об окружающей среде, возвращают в нашу жизнь гармонию. ""Жить так, как живет наша Вселенная"" - лозунг автора необыкновенных книг о здоровье, гармонии и долгой жизни без болезней. Книга предназначена для врачей, физиотерапевтов, целителей и просто заинтересованных читателей.",4 100 тг,1,Амрита-Русь,2019 г.,9785000535332,256,Мягкий,240 мм x 170 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5070395_1410058.jpeg
Загадка нашего здоровья. Книга 5. Биоэнергетика человека-космическая и земная,Петренко В.В.,"Настоящая книга представляет собой собрание лечебных методик и описание, каким именно образом они действуют на те или иные органы нашего тела. Авторы много лет занимаются электрорефлексотерапией, медицинской астрологией, траволечением, изучением различных недугов и выработкой эффективных способов их преодоления. Такой обширный опыт позволил этим уникальным знаниям распространиться до-статочно широко и в конце концов достичь своего читателя - того, кто уже много лет ищет способ вернуть здоровье. Наконец-то шанс представился: книги В.Петренко и Е.Дерюгина помогут вам прийти к пониманию истоков различных болезней и обрести долгожданное здоровье. Мнение авторов может расходиться с существующими на сегодняшний день представлениями естественных наук и традиционной медицины. Данная книга не является учебником по медицине все рекомендации, приведенные в ней, следует использовать только после согласования с лечащим врачом.",2 700 тг,0,Амрита-Русь,2017 г.,9785000538074,208,Мягкий,240 мм x 170 мм,266 г.,http://www.bookcity.kz/content/images/thumbs/5070310_1409966.jpeg
Загадка нашего здоровья. Книга 6. Практические советы целителя,Петренко В.В.,"В данной книге Валентина Петренко и Евгений Дерюгин поясняют некоторые особенности всем известной таблицы Менделеева, исследуют связь между физиологией и астрологией, а так же дают ответы на ваши различные вопросы. Благодаря советам целителей, обладающих многолетним опытом применения научных знаний и восточных методов лечения на практике, вы сможете справиться с любыми невзгодами: от простого насморка до серьезных заболеваний внутренних органов. Эффективные методы преодоления и предупреждения любых недугов - в книгах В.Петренко и Е.Дерюгина.",3 200 тг,1,Амрита-Русь,2019 г.,9785000532355,128,Мягкий,240 мм x 170 мм,310 г.,http://www.bookcity.kz/content/images/thumbs/5056568_1354203.jpeg
Загадка нашего здоровья. Книга 8,Петренко В.В.,"В этой книге Валентина Петренко и Евгений Дерюгин объясняют, каковы причины заболеваний человека и как можно бороться с ними народными средствами. По мнению авторов, нашему выздоровлению (как физическому, так и духовному) способствует влияние мысли, а точнее, сознания и подсознания. Взяв их под контроль, мы сможем избавиться от любых недугов. В книге можно найти размышления о связи таблицы Менделеева с законами Земли и Космоса и о том, как воздействует эта связь на жизнь и счастье каждого из нас. Советы В.Петренко и Е Дерюгина помогут не только избавиться от болезней, но и поддерживать своё здоровье на протяжении многих лет.",2 600 тг,1,Амрита-Русь,2018 г.,9785000536926,144,Мягкий,240 мм x 170 мм,185 г.,http://www.bookcity.kz/content/images/thumbs/5088676_1427219.jpeg
"Здоровье человека в нездоровом мире. 2-е изд. Новые, сенсационные открытия!",Болотов Б.В.,"Медицина будущего будет основываться на учении Болотова, на его теориях клеточного омоложения организма и лечения сдвиговых нарушений. Используя его систему лечения, за полгода удалось восстановить пальцы на руках и ногах после сильнейшего обморожения. И таких ""чудес"" в арсенале ученого-волшебника немало!",2 500 тг,0,Питер,2019 г.,9785446112807,Твердый,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132247_1464589.jpeg
Золотые методики китайской медицины,Васичкин В.И.,"В мире большой интерес проявляется к китайской акупунктуре. Данная книга будет полезна для тех, кто стремится самостоятельно овладеть этим древним искусством лечения. Объем информации, содержащейся в ней, исключителен: она сообщает об опыте китайских врачей многих поколений, бережно собранном и изученном советским последователем академиком Владимиром Ивановичем Васичкиным. Все о китайской рефлексотерапии в одной книге - понятно и доступно!",3 100 тг,3,АСТ,2014 г.,9785170872398,368,Твердый,240 мм x 170 мм,610 г.,http://www.bookcity.kz/content/images/thumbs/5110717_1413909.jpeg
Изложение китайской медицины,Чэнь Син-Сюань,"""Данное издание представляет собой перевод основной части трактата """"И Шу"""" - """"Изложение медицины"""", составленного господином Чэнь Син-сюанем из династии Цин, правившей с 1616 по 1911 годы.",5 600 тг,3,Профит Стайл,2017 г.,9785988573739,312,Твердый,215 мм x 145 мм,430 г.,http://www.bookcity.kz/content/images/thumbs/5107616_1443932.jpeg
Ипликатор Кузнецова и Пранамат. Верните здоровье своей спине и шее!,Минь Л.,"Вот уже долгие годы не смолкают споры вокруг удивительного изобретения Кузнецова — ипликатора. А само изобретение тем временем приобретает все больше поклонников по всему миру, прибор совершенствуется, появляются современные аналоги. И сейчас ипликатор продолжают активно использовать не только дома, но и в медицинских учреждениях, несмотря на то что появляются новые методы лечения, новые лекарства. В чем секрет такого долголетия этого игольчатого коврика? В простоте, дешевизне и высокой эффективности. 
В этой книге вы найдете советы по наиболее эффективному использованию ипликатора Кузнецова и его современного аналога Пранамата, основанные на многовековом опыте медицины Востока.",2 300 тг,0,АСТ,2019 г.,9785171151171,Твердый,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133108_1465226.jpeg
"Искусство бросить курить, не испортив настроения",Шёнбург А.,"Новая книга Александра фон Шенбурга адресована людям, которые хотят, но по разным причинам никак не могут бросить курить. С присущим ему юмором Шенбург рассказывает о мифах и легендах, которыми утешают или пугают себя курильщики, и без всякого эпатажа и назидательности помогает читателям выполнить принятое ими решение.",1 900 тг,0,Текст,2009 г.,9785751607753,160,Твердый,200 мм x 130 мм,211 г.,http://www.bookcity.kz/content/images/thumbs/5036057_1355944.jpeg
Искусство долголетия по тибетской медицине,Чжома Д.,"Благодаря тибетской медицине за множество веков выработана уникальная система диагностики и врачевания, которая может помочь человечеству. В данной книге автор, имеющий большой опыт практики в тибетской медицине, подробно рассказывает о сложных теориях и техниках, касающихся долголетия.",2 800 тг,0,Амрита-Русь,2019 г.,9785413019283,Твердый,13 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129689_1462126.jpeg
Исследование сути исцеления том 2. Как устранить заболевание?,Бенор Д.,"Перед вами второй том фундаментального ""Исследования сути исцеления"". Автор, Дэниел Бенор, - доктор медицины, посвятивший этой области знания большую часть своей жизни и стремившийся изучить феномен целительства максимально полно. В томе II его научной работы рассматривается многообразие методов самоисцеления и энергетической медицины. Большая часть книги посвящена видам лечения, использующим тонкие энергии, которые целители способны ощущать ладонями или воспринимать визуально. Психотерапия, гипноз, хиропрактика, ароматерапия - все эти методы описаны автором обстоятельно и подробно, с учетом различных точек зрения. Издание адресовано специалистам в области медицины, исследователям и практикам различных целительных методик, а также всем тем, кто интересуется целительством и нетрадиционной медициной.",3 300 тг,0,Весь,2010 г.,9785957318064,656,Мягкий,240 мм x 170 мм,819 г.,http://www.bookcity.kz/content/images/thumbs/5048528_1370697.jpeg
"Исследование сути исцеления том 3. Наука, дух и вечность души",Бенор Д.,"Книга посвящена исследованию феномена духовного целительства. В ней рассказывается о практике медитации, опыте выхода из тела, психокинезе, экстрасенсорике приводится множество свидетельств, которые подтверждают существование привидений, ангелов, природных духов и других мистических явлений. ""Этот том для тех, кто увлечен поисками смысла жизни - людей, следующих в этих поисках за собственными ощущениями и впечатлениями, ведомые высшим ""Я"", - пишет автор.",3 300 тг,0,Весь,2010 г.,9785957318071,576,Мягкий,240 мм x 170 мм,728 г.,http://www.bookcity.kz/content/images/thumbs/5048544_1370682.jpeg
Истины Болотова. Рак можно победить,Болотов Б.В.,"Бориса Болотова называют украинским волшебником. Новое понимание механизмов исцеления болезней привело академика Болотова к созданию ферментных лечебных препаратов, которым подвластно исцеление практически от всех заболеваний. Его рекомендации просты и доступны. Любой человек в состоянии приготовить ферментные препараты и другие лекарства академика и излечиться от самых тяжелых недугов.
Его теории подтверждают мурманские учителя в прошлом, а сейчас ученые-практики Лариса и Глеб Погожевы. Они творчески осмыслили открытия украинского ученого и создали свою уникальную технологию здоровья. Так дерзкие открытия ученого и жизненный подвиг его учеников показали, что долголетие без болезней — это реальность, и она по плечу каждому.
Медицина Болотова невозможна без знания целостной системы мира и оздоровления. Из этой книги вы узнаете те законы, на которых базируется учение об оздоровлении.
Благодаря этой книге каждый может приобщиться к великой медицине и начать жить по Болотову!",1 100 тг,0,Питер,2019 г.,9785001163275,Мягкий,2 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132263_1464607.jpeg
Исцеляющая и омолаживающая криотерапия. Практические рекомендации. 2-е изд.,Кибардин Г.,"Если вы желаете избавиться от своих болезней или думаете о том, как вернуть былую молодость и привлекательность, тогда эта книга написана для вас. Автор предлагает всем желающим повернуться лицом к простым методам исцеления и омоложения человека при помощи дозированного воздействия холодом. Приобретая книгу, вы получаете хороший справочник по исцелению и омоложению своего физического тела естественными методами.",1 900 тг,0,Амрита-Русь,2015 г.,9785000533390,96,Мягкий,200 мм x 130 мм,80 г.,http://www.bookcity.kz/content/images/thumbs/5067718_1407487.jpeg
Исцеляющие мантры в Аюрведе,Неаполитанский С.М.,"Аюрведа (""айу"" - жизнь и ""веда"" - знание, ведущее к совершенству) - это наука жизни, использующая методы физического, психического и духовного совершенствования. С точки зрения Аюрведы тело - не только биологический объект, состоящий из клеток и органов, а еще и поток сознания, который создает, формирует и контролирует все процессы. И поэтому человек по своей воле может изменять состояние своего организма. За тысячи лет до того, как современная медицина открыла связь между телом и сознанием, ведические учителя разработали созидательные технологии, работающие с самыми глубинными уровнями сознания. Одной из них являлась наука о звуке, вибрационная медицина, или мантротерапия. Если мы научимся поддерживать равновесие не только в теле, но и в мыслях и эмоциях, то преодолеем беспомощность перед лицом болезней и процессом старения, а наше внутреннее развитие будет беспредельно.",1 200 тг,3,Амрита-Русь,2018 г.,9785906304766,160,Мягкий,200 мм x 130 мм,205 г.,http://www.bookcity.kz/content/images/thumbs/4373903_1363219.jpeg
Исцеляющие точки нашего организма. Подробный атлас. 3-е издание,Минь Л.,"На протяжении многих веков на Востоке используют для лечения исцеляющие точки и зоны, расположенные на поверхности тела. Чем бы вы ни заболели, в какой бы форме ни протекала болезнь, существуют исцеляющие точки, которые, если на них правильно воздействовать, принесут облегчение болезни, а то и полное выздоровление! Каждый внутренний орган и каждая система имеют внешнюю проекцию на теле, связь с которой осуществляется по многим каналам. Через исцеляющие точки и зоны можно «достучаться» до больного органа и оказать на него благотворное воздействие простым нажатием или растиранием! Эта книга является подробным атласом исцеляющих точек и самоучителем способов воздействия на них. Обучитесь технике точечной акупрессуры, которая практически не оказывает вредных побочных действий.",2 100 тг,0,АСТ,2019 г.,9785171143886,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130096_1462490.jpeg
К учению о темпераментах. Расширенный взгляд,Гоникман Э.И.,"Учение о темпераментах можно с полным основанием отнести к ранней психологии (Гиппократ, Аристотель, Авиценна и др.). С тех пор внимание к психологическим нюансам, отличающим одну личность от другой, не ослабевает. В настоящее время это связано с возрастающим интересом к психоматической медицине. В этом аспекте автор представляет постсовременный расширенный взгляд на достаточно сложную и актуальную проблему персонификации личности, основанную на генетических паттернах.",3 300 тг,0,Велигор,2010 г.,9785917420301,224,Мягкий,200 мм x 145 мм,225 г.,http://www.bookcity.kz/content/images/thumbs/5022677_1347205.jpeg
Как бросить курить. DVD,Пелинский И.,Неизвестно,1 900 тг,0,Сова-Фильм,2010 г.,612109003792,14 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5004542_1330142.jpeg
Карманный атлас акупунктуры. 2-е изд,Морозов Г.В. ред.,"Это компактный справочник для изучения акупунктуры и повседневной лечебной практики. Предлагаемая вниманию читателя книга достаточно объемна и обеспечивает полноценный обзор локализации и терапевтических возможностей укалывания акупунктурных точек. Текст в издании выстроен как справочный - каждой акупунктурной точке соответствуют определённые картины расстройств и болезней, принятых в Традиционной Китайской Медицине, указано применение укалывания конкретных точек.",10 700 тг,0,Профит Стайл,2017 г.,9785988573722,384,Твердый,165 мм x 120 мм,510 г.,http://www.bookcity.kz/content/images/thumbs/5110510_1443938.jpeg
Карманный справочник иглотерапевта,Якушкин М.В,"Карманный справочник врача-иглотерапевта является квинтэссенцией теории и практики традиционной китайской медицины. Данный труд основан на ранее изданных произведениях ""Китайская акупунктура"" Ж. Сулье де Морана (2005 г.).",8 500 тг,1,Профит Стайл,2018 г.,9785988573982,480,Твердый,210 мм x 140 мм,515 г.,http://www.bookcity.kz/content/images/thumbs/5114946_1447866.jpeg
Китайские классические методики лечения,Кашницкий С.Е.,"Китайской медицине несколько тысяч лет. И что удивительно - ее методы лечения до сих пор эффективны и актуальны. Более того, на основе ее рекомендаций создаются современные лечебные препараты. Да и как может быть иначе? Ведь китайские классические методики лечения прошли проверку временем. Некоторые из них уникальны. Например, целители Поднебесной не признавали оперативного, хирургического, вмешательства в человеческий организм. Они брались решить все проблемы организма, давшего сбой, только лишь правильным подбором пищи, минералов, трав, ароматических и других веществ, в которых нет химии и которые ближе к природе человека. Кроме того, восточные медики всегда лечили не отдельный симптом, а восстанавливали целостность энергетической структуры всего человеческого тела.В этой книге вы найдете массу рецептов, которые, не оказывая вреда, быстро снимают боль и неприятные ощущения, что для страдающего человека немаловажно. И убедитесь, что китайская медицина - настоящий кладезь лечебных средств, советов и способов на все случаи жизни.Автор не пытался объяснить читателю глубинную суть каждого метода, открыть ему все причины и следствия. Его задача состояла в том, чтобы просто привести простейшие рецепты, которыми человек сможет самостоятельно воспользоваться в нужный момент, не только вылечить, но и диагностировать свои недуги на первоначальном этапе. Будьте здоровы!",2 800 тг,2,АСТ,2017 г.,9785171038892,288,Твердый,215 мм x 145 мм,345 г.,http://www.bookcity.kz/content/images/thumbs/5104518_1440939.jpeg
Китайский массаж ГУА-ША. Уникальный метод удаления токсинов из организма,Молостов В.Д.,"Китайский скребковый массаж Гуа-Ша – единственный в своем роде массаж, воздействующий не на мышцы и внутренние органы, а на капилляры кожи. Он избавляет организм от шлаков и токсинов, а также помогает в лечении и профилактики многих заболеваний. Из книги вы узнаете о научных теориях и обоснованиях этого метода лечения организма, найдете техники улучшения здоровья, четкие и ясные схемы массажа и самомассажа, информацию о маслах, скребках и чаях, восстанавливающих организм.",2 500 тг,1,Эксмо,2019 г.,9785040979035,Твердый,20 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130384_1462768.jpeg
